rad_haplotyper -v FamB.recode.vcf -r reference.fasta -x 35 -d 10 -z 3 -m .5 -g FamB.gen -p FamB.popmap -t FamB.tsv -p1 FamB_FamB-059 -p2 FamB_FamB-194 -e
Locus	Sites	Haplotypes	Inds_Haplotyped	Total_Inds	Prop_Haplotyped	Status	Poss_Paralog	Low_Cov/Geno_Err	Miss_Geno	Comment
dDocent_Contig_11180	2	2	168	172	0.977	PASSED	0	2	2	
dDocent_Contig_11186	3	3	168	172	0.977	PASSED	3	0	1	
dDocent_Contig_112066	9	5	143	172	0.831	PASSED	29	0	0	
dDocent_Contig_112075	2	3	168	172	0.977	PASSED	3	0	1	
dDocent_Contig_1121	13	4	161	172	0.936	PASSED	11	0	0	
dDocent_Contig_112107	2	3	168	172	0.977	PASSED	4	0	0	
dDocent_Contig_112199	4	3	171	172	0.994	PASSED	1	0	0	
dDocent_Contig_112244	4	4	163	172	0.948	PASSED	8	0	1	
dDocent_Contig_11228	1	2	172	172	1.000	PASSED	0	0	0	
dDocent_Contig_11235	3	3	169	172	0.983	PASSED	1	1	1	
dDocent_Contig_112373	2	3	168	172	0.977	PASSED	4	0	0	
dDocent_Contig_11248	4	3	164	172	0.953	PASSED	8	0	0	
dDocent_Contig_112539	2	2	167	172	0.971	PASSED	0	5	0	
dDocent_Contig_112589	1	2	171	172	0.994	PASSED	0	0	1	
dDocent_Contig_1126	5	4	163	172	0.948	PASSED	8	0	1	
dDocent_Contig_11261	1	2	172	172	1.000	PASSED	0	0	0	
dDocent_Contig_112677	2	3	166	172	0.965	PASSED	4	1	1	
dDocent_Contig_112680	6	3	162	172	0.942	PASSED	2	2	6	
dDocent_Contig_112745	7	4	161	172	0.936	PASSED	11	0	0	
dDocent_Contig_112813	2	3	167	172	0.971	PASSED	5	0	0	
dDocent_Contig_112821	11	5	163	172	0.948	PASSED	7	2	0	
dDocent_Contig_112837	3	3	168	172	0.977	PASSED	3	0	1	
dDocent_Contig_11289	5	4	164	172	0.953	PASSED	7	0	1	
dDocent_Contig_112900	3	3	167	172	0.971	PASSED	3	1	1	
dDocent_Contig_112923	4	2	166	172	0.965	PASSED	0	3	3	
dDocent_Contig_113023	3	3	161	172	0.936	PASSED	8	1	2	
dDocent_Contig_113111	2	2	170	172	0.988	PASSED	2	0	0	
dDocent_Contig_11322	6	4	159	172	0.924	PASSED	3	3	7	
dDocent_Contig_113253	1	2	170	172	0.988	PASSED	0	0	2	
dDocent_Contig_11326	7	6	94	172	0.547	PASSED	4	74	0	
dDocent_Contig_113338	1	2	172	172	1.000	PASSED	0	0	0	
dDocent_Contig_11338	7	4	165	172	0.959	PASSED	1	3	3	
dDocent_Contig_113420	8	4	160	172	0.930	PASSED	2	3	7	
dDocent_Contig_113458	4	4	165	172	0.959	PASSED	6	1	0	
