LOCUS	MATCHLOC
dDocent_Contig_21388	dDocent_Contig_300492
dDocent_Contig_21388	dDocent_Contig_3877
dDocent_Contig_21388	dDocent_Contig_5867
dDocent_Contig_21388	dDocent_Contig_8594
dDocent_Contig_18792	dDocent_Contig_21570
dDocent_Contig_18792	dDocent_Contig_477
dDocent_Contig_18792	dDocent_Contig_5654
dDocent_Contig_18792	dDocent_Contig_57629
dDocent_Contig_188003	dDocent_Contig_397821
dDocent_Contig_33971	dDocent_Contig_189511
dDocent_Contig_190056	dDocent_Contig_29563
dDocent_Contig_19111	dDocent_Contig_293474
dDocent_Contig_19111	dDocent_Contig_4687
dDocent_Contig_333677	dDocent_Contig_19302
dDocent_Contig_333677	dDocent_Contig_32210
dDocent_Contig_6303	dDocent_Contig_19843
dDocent_Contig_6303	dDocent_Contig_3096
dDocent_Contig_200617	dDocent_Contig_9
dDocent_Contig_70736	dDocent_Contig_20111
dDocent_Contig_70736	dDocent_Contig_31210
dDocent_Contig_55599	dDocent_Contig_20890
dDocent_Contig_55599	dDocent_Contig_28309
dDocent_Contig_212542	dDocent_Contig_28149
dDocent_Contig_21292	dDocent_Contig_24719
dDocent_Contig_21399	dDocent_Contig_246896
dDocent_Contig_52450	dDocent_Contig_21681
dDocent_Contig_52450	dDocent_Contig_3862
dDocent_Contig_4056	dDocent_Contig_226254
dDocent_Contig_4056	dDocent_Contig_259416
dDocent_Contig_4056	dDocent_Contig_36882
dDocent_Contig_4056	dDocent_Contig_6473
dDocent_Contig_4056	dDocent_Contig_76686
dDocent_Contig_42967	dDocent_Contig_227127
dDocent_Contig_42967	dDocent_Contig_27780
dDocent_Contig_42967	dDocent_Contig_297334
dDocent_Contig_42967	dDocent_Contig_397105
dDocent_Contig_42967	dDocent_Contig_95956
dDocent_Contig_44301	dDocent_Contig_22806
dDocent_Contig_52549	dDocent_Contig_23092
dDocent_Contig_52549	dDocent_Contig_288916
dDocent_Contig_4017	dDocent_Contig_233860
dDocent_Contig_234405	dDocent_Contig_244229
dDocent_Contig_234405	dDocent_Contig_66763
dDocent_Contig_5401	dDocent_Contig_236367
dDocent_Contig_97106	dDocent_Contig_236777
dDocent_Contig_97106	dDocent_Contig_32599
dDocent_Contig_97106	dDocent_Contig_386286
dDocent_Contig_369547	dDocent_Contig_24250
dDocent_Contig_6955	dDocent_Contig_243491
dDocent_Contig_74001	dDocent_Contig_24843
dDocent_Contig_251179	dDocent_Contig_99076
dDocent_Contig_91505	dDocent_Contig_25202
dDocent_Contig_91505	dDocent_Contig_65214
dDocent_Contig_25389	dDocent_Contig_46225
dDocent_Contig_98257	dDocent_Contig_254535
dDocent_Contig_2583	dDocent_Contig_272119
dDocent_Contig_261651	dDocent_Contig_266483
dDocent_Contig_261651	dDocent_Contig_29698
dDocent_Contig_261651	dDocent_Contig_312942
dDocent_Contig_26199	dDocent_Contig_5447
dDocent_Contig_297018	dDocent_Contig_2620
dDocent_Contig_297018	dDocent_Contig_43622
dDocent_Contig_264083	dDocent_Contig_364420
dDocent_Contig_264083	dDocent_Contig_568
dDocent_Contig_93424	dDocent_Contig_275339
dDocent_Contig_28007	dDocent_Contig_288155
dDocent_Contig_285637	dDocent_Contig_43242
dDocent_Contig_285637	dDocent_Contig_46376
dDocent_Contig_285637	dDocent_Contig_7074
dDocent_Contig_30539	dDocent_Contig_286213
dDocent_Contig_291924	dDocent_Contig_346077
dDocent_Contig_9191	dDocent_Contig_293796
dDocent_Contig_9191	dDocent_Contig_30792
dDocent_Contig_9191	dDocent_Contig_32115
dDocent_Contig_9191	dDocent_Contig_358966
dDocent_Contig_9191	dDocent_Contig_400317
dDocent_Contig_9191	dDocent_Contig_46846
dDocent_Contig_9191	dDocent_Contig_7800
dDocent_Contig_91748	dDocent_Contig_303916
dDocent_Contig_8174	dDocent_Contig_30404
dDocent_Contig_8174	dDocent_Contig_45279
dDocent_Contig_8174	dDocent_Contig_52542
dDocent_Contig_30828	dDocent_Contig_52309
dDocent_Contig_62851	dDocent_Contig_331593
dDocent_Contig_6727	dDocent_Contig_332250
dDocent_Contig_6727	dDocent_Contig_70596
dDocent_Contig_6727	dDocent_Contig_7091
dDocent_Contig_6727	dDocent_Contig_98695
dDocent_Contig_34345	dDocent_Contig_337536
dDocent_Contig_34345	dDocent_Contig_5435
dDocent_Contig_34345	dDocent_Contig_79800
dDocent_Contig_34345	dDocent_Contig_80450
dDocent_Contig_367217	dDocent_Contig_338618
dDocent_Contig_68700	dDocent_Contig_339791
dDocent_Contig_37128	dDocent_Contig_352053
dDocent_Contig_63921	dDocent_Contig_36931
dDocent_Contig_63921	dDocent_Contig_50498
dDocent_Contig_63921	dDocent_Contig_68790
dDocent_Contig_43510	dDocent_Contig_37671
dDocent_Contig_48972	dDocent_Contig_377457
dDocent_Contig_60550	dDocent_Contig_384966
dDocent_Contig_39281	dDocent_Contig_41257
dDocent_Contig_396176	dDocent_Contig_40313
dDocent_Contig_46589	dDocent_Contig_46775
dDocent_Contig_50172	dDocent_Contig_8341
dDocent_Contig_85639	dDocent_Contig_50697
dDocent_Contig_58808	dDocent_Contig_5786
dDocent_Contig_69594	dDocent_Contig_6237
dDocent_Contig_7007	dDocent_Contig_8327
dDocent_Contig_7198	dDocent_Contig_9744
dDocent_Contig_9662	dDocent_Contig_78852
dDocent_Contig_9708	dDocent_Contig_84028
dDocent_Contig_9708	dDocent_Contig_8679
