"LOCUS" "LG_F" "POS_F" "LG_M" "POS_M"
"348" "dDocent_Contig_78100" 17 10.4598739437808 10 25.3064102257217
"349" "dDocent_Contig_5895" 17 10.4598740437808 10 25.3064100257217
"350" "dDocent_Contig_388381" 17 10.4598741437808 NA NA
"351" "dDocent_Contig_43640" 17 10.4598741437808 NA NA
"352" "dDocent_Contig_21183" 17 10.4598742437809 10 52.2052538325095
"353" "dDocent_Contig_42140" 17 10.4598743437809 10 20.9781606006694
"354" "dDocent_Contig_121590" 17 10.4598744437809 10 29.4763117477183
"355" "dDocent_Contig_164138" 17 10.4598745437809 10 25.3064101257217
"356" "dDocent_Contig_23286" 17 10.4598746437809 10 17.0280846780632
"357" "dDocent_Contig_84608" 17 10.4598747437809 10 47.3062294501584
"358" "dDocent_Contig_3150" 17 10.4598748437809 10 22.5927660861914
"359" "dDocent_Contig_92057" 17 10.4598749437809 10 47.3062296501584
"360" "dDocent_Contig_14368" 17 10.4598749437809 10 30.8292251823194
"361" "dDocent_Contig_236369" 17 10.4598749437809 NA NA
"362" "dDocent_Contig_242112" 17 10.4598749437809 10 14.2868576987818
"363" "dDocent_Contig_25932" 17 10.4598749437809 10 58.4464937853996
"364" "dDocent_Contig_330040" 17 10.4598749437809 10 57.7754383629942
"365" "dDocent_Contig_54340" 17 10.4598749437809 NA NA
"366" "dDocent_Contig_67109" 17 10.4598749437809 NA NA
"367" "dDocent_Contig_4603" 17 10.4598750437809 10 20.2616645154636
"368" "dDocent_Contig_22902" 17 10.4598751437809 10 41.6649564506585
"369" "dDocent_Contig_12565" 17 10.4598752437809 10 57.1042850910093
"370" "dDocent_Contig_167624" 17 10.4598753437809 NA NA
"371" "dDocent_Contig_41166" 17 10.4598754437809 10 24.635260011151
"372" "dDocent_Contig_18500" 10 10.5472790238528 NA NA
"373" "dDocent_Contig_2193" 8 10.7360590893587 18 42.3422313614149
"374" "dDocent_Contig_313857" 18 10.8009517300501 NA NA
"375" "dDocent_Contig_93890" 18 10.8009518300501 14 10.2543332761098
"376" "dDocent_Contig_70673" 9 10.8112620874262 7 61.0357785758009
"377" "dDocent_Contig_194468" 23 11.1047788784096 NA NA
"378" "dDocent_Contig_44547" 2 11.2075376422211 1 49.7975357449717
"379" "dDocent_Contig_117020" 2 11.2075377422211 1 49.7975353449716
"380" "dDocent_Contig_39469" 2 11.2075378422211 NA NA
"381" "dDocent_Contig_351298" 11 11.3783847371695 19 59.5709670534327
